fare_id,price,currency_type,payment_method,transfers,agency_id
560,1.00,EUR,0,0,74
561,1.30,EUR,0,0,74
562,1.60,EUR,0,0,74
563,1.80,EUR,0,0,74
564,1.20,EUR,0,0,74
565,1.50,EUR,0,0,74
566,2.00,EUR,0,0,74
567,2.30,EUR,0,0,74
568,2.10,EUR,0,0,74
569,0.90,EUR,0,0,74
570,0.30,EUR,0,0,317
571,2.15,EUR,0,0,71
572,2.75,EUR,0,0,71
573,2.35,EUR,0,0,71
574,2.45,EUR,0,0,71
575,2.65,EUR,0,0,71
576,2.95,EUR,0,0,71
577,2.85,EUR,0,0,71
578,1.70,EUR,0,0,219
579,4.65,EUR,0,0,60
580,4.60,EUR,0,0,60
581,5.05,EUR,0,0,60
582,5.15,EUR,0,0,60
583,4.45,EUR,0,0,60
584,5.25,EUR,0,0,60
585,4.55,EUR,0,0,60
586,5.65,EUR,0,0,60
587,4.75,EUR,0,0,60
588,5.00,EUR,0,0,60
589,4.85,EUR,0,0,60
590,5.45,EUR,0,0,60
591,4.90,EUR,0,0,60
592,5.60,EUR,0,0,60
593,5.20,EUR,0,0,60
594,5.10,EUR,0,0,60
595,4.70,EUR,0,0,60
596,5.50,EUR,0,0,60
597,5.35,EUR,0,0,60
598,5.85,EUR,0,0,60
599,5.90,EUR,0,0,60
600,4.80,EUR,0,0,60
601,5.75,EUR,0,0,60
602,5.30,EUR,0,0,60
603,4.95,EUR,0,0,60
604,5.55,EUR,0,0,60
605,5.40,EUR,0,0,60
606,5.70,EUR,0,0,60
607,5.80,EUR,0,0,60
608,5.95,EUR,0,0,60
609,6.25,EUR,0,0,60
610,9.00,EUR,0,0,60
611,6.35,EUR,0,0,60
612,8.60,EUR,0,0,60
613,6.60,EUR,0,0,60
614,8.30,EUR,0,0,60
615,6.55,EUR,0,0,60
616,6.00,EUR,0,0,60
617,6.90,EUR,0,0,60
618,6.85,EUR,0,0,60
619,7.75,EUR,0,0,60
620,7.65,EUR,0,0,60
621,8.65,EUR,0,0,60
622,6.50,EUR,0,0,60
623,8.15,EUR,0,0,60
624,6.05,EUR,0,0,60
625,7.40,EUR,0,0,60
626,6.15,EUR,0,0,60
627,7.95,EUR,0,0,60
628,6.95,EUR,0,0,60
629,8.40,EUR,0,0,60
630,7.80,EUR,0,0,60
631,8.95,EUR,0,0,60
632,7.20,EUR,0,0,60
633,7.35,EUR,0,0,60
634,6.45,EUR,0,0,60
635,6.10,EUR,0,0,60
636,7.70,EUR,0,0,60
637,8.20,EUR,0,0,60
638,6.40,EUR,0,0,60
639,7.45,EUR,0,0,60
640,6.70,EUR,0,0,60
641,7.90,EUR,0,0,60
642,7.60,EUR,0,0,60
643,8.55,EUR,0,0,60
644,8.25,EUR,0,0,60
645,6.20,EUR,0,0,60
646,6.65,EUR,0,0,60
647,8.10,EUR,0,0,60
648,7.00,EUR,0,0,60
649,7.05,EUR,0,0,60
650,8.05,EUR,0,0,60
651,6.80,EUR,0,0,60
652,6.75,EUR,0,0,60
653,7.25,EUR,0,0,60
654,7.55,EUR,0,0,60
655,8.70,EUR,0,0,60
656,6.30,EUR,0,0,60
657,9.10,EUR,0,0,60
658,7.15,EUR,0,0,60
659,8.45,EUR,0,0,60
660,9.20,EUR,0,0,60
661,7.30,EUR,0,0,60
662,8.00,EUR,0,0,60
663,8.75,EUR,0,0,60
664,7.50,EUR,0,0,60
665,8.35,EUR,0,0,60
666,7.85,EUR,0,0,60
667,8.90,EUR,0,0,60
668,8.85,EUR,0,0,60
669,8.80,EUR,0,0,60
